Device,iPhone,model,iPhone,version,10.2.1,AppVersion,2.7.2
Year,2017,Month,4,Day,2,Hour,0,Minute,0,Second,0,BatteryUsage, n/a
comments
File created by Mio Go v2.7.2 iPhone App.
sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,no,no,n/a
footpod,no,no,no,n/a
gps,no,no,no,n/a
workout,starttime,runningtime,spdavg,hravg,manualdist
Y,2017-04-02 15:39:06 +0000,932,0.695089,140,173
interval,starttime,runningtime,spdavg,hravg,manualdist
1,2017-04-02 15:39:06 +0000,932,0.695089,140,173
time(seconds),hr_heartrate(1s),calories(12s),step_data(60s),manual_dist(12s),interval,pace_data(12s),speed_data(12s)
511,159,0,0,0,1,0,0
512,159,0,0,0,1,0,0
513,160,0,0,0,1,0,0
514,160,0,0,0,1,0,0
515,160,0,0,0,1,0,0
516,160,0,0,(null),1,0,0
517,160,0,0,0,1,0,0
518,159,0,0,0,1,0,0
519,159,0,0,0,1,0,0
520,159,0,0,0,1,0,0
521,159,0,0,0,1,0,0
522,160,0,0,0,1,0,0
523,160,0,0,0,1,0,0
524,161,0,0,0,1,0,0
525,161,0,0,0,1,0,0
526,161,0,0,0,1,0,0
527,161,0,0,0,1,0,0
528,161,0,0,(null),1,0,0
529,162,0,0,0,1,0,0
530,162,0,0,0,1,0,0
531,163,0,0,0,1,0,0
532,163,0,0,0,1,0,0
533,162,0,0,0,1,0,0
534,162,0,0,0,1,0,0
535,161,0,0,0,1,0,0
536,161,0,0,0,1,0,0
537,160,0,0,0,1,0,0
538,159,0,0,0,1,0,0
539,158,0,0,0,1,0,0
540,158,0,0,(null),1,0,0
541,158,0,0,0,1,0,0
542,158,0,0,0,1,0,0
543,159,0,0,0,1,0,0
544,159,0,0,0,1,0,0
545,159,0,0,0,1,0,0
546,160,0,0,0,1,0,0
547,160,0,0,0,1,0,0
548,160,0,0,0,1,0,0
549,159,0,0,0,1,0,0
550,159,0,0,0,1,0,0
551,160,0,0,0,1,0,0
552,160,0,0,(null),1,0,0
553,160,0,0,0,1,0,0
554,159,0,0,0,1,0,0
555,159,0,0,0,1,0,0
556,159,0,0,0,1,0,0
557,160,0,0,0,1,0,0
558,160,0,0,0,1,0,0
559,161,0,0,0,1,0,0
560,161,0,0,0,1,0,0
561,161,0,0,0,1,0,0
562,162,0,0,0,1,0,0
563,162,0,0,0,1,0,0
564,163,0,0,(null),1,0,0
565,163,0,0,0,1,0,0
566,163,0,0,0,1,0,0
567,164,0,0,0,1,0,0
568,164,0,0,0,1,0,0
569,164,0,0,0,1,0,0
570,164,0,0,0,1,0,0
571,164,0,0,0,1,0,0
572,164,0,0,0,1,0,0
573,163,0,0,0,1,0,0
574,163,0,0,0,1,0,0
575,163,0,0,0,1,0,0
576,163,0,0,(null),1,0,0
577,163,0,0,0,1,0,0
578,163,0,0,0,1,0,0
579,163,0,0,0,1,0,0
580,163,0,0,0,1,0,0
581,163,0,0,0,1,0,0
582,163,0,0,0,1,0,0
583,163,0,0,0,1,0,0
584,163,0,0,0,1,0,0
585,163,0,0,0,1,0,0
586,163,0,0,0,1,0,0
587,163,0,0,0,1,0,0
588,163,0,0,(null),1,0,0
589,163,0,0,0,1,0,0
590,161,0,0,0,1,0,0
591,160,0,0,0,1,0,0
592,160,0,0,0,1,0,0
593,161,0,0,0,1,0,0
594,161,0,0,0,1,0,0
595,161,0,0,0,1,0,0
596,161,0,0,0,1,0,0
597,161,0,0,0,1,0,0
598,162,0,0,0,1,0,0
599,162,0,0,0,1,0,0
600,162,0,0,(null),1,0,0
601,163,0,0,0,1,0,0
602,163,0,0,0,1,0,0
603,163,0,0,0,1,0,0
604,163,0,0,0,1,0,0
605,163,0,0,0,1,0,0
606,164,0,0,0,1,0,0
607,163,0,0,0,1,0,0
608,162,0,0,0,1,0,0
609,162,0,0,0,1,0,0
610,162,0,0,0,1,0,0
611,162,0,0,0,1,0,0
612,162,0,0,(null),1,0,0
613,162,0,0,0,1,0,0
614,162,0,0,0,1,0,0
615,161,0,0,0,1,0,0
616,161,0,0,0,1,0,0
617,161,0,0,0,1,0,0
618,162,0,0,0,1,0,0
619,162,0,0,0,1,0,0
620,162,0,0,0,1,0,0
621,162,0,0,0,1,0,0
622,162,0,0,0,1,0,0
623,163,0,0,0,1,0,0
624,163,0,0,(null),1,0,0
625,163,0,0,0,1,0,0
626,164,0,0,0,1,0,0
627,164,0,0,0,1,0,0
628,164,0,0,0,1,0,0
629,164,0,0,0,1,0,0
630,164,0,0,0,1,0,0
631,164,0,0,0,1,0,0
632,164,0,0,0,1,0,0
633,164,0,0,0,1,0,0
634,164,0,0,0,1,0,0
635,164,0,0,0,1,0,0
636,165,0,0,(null),1,0,0
637,165,0,0,0,1,0,0
638,165,0,0,0,1,0,0
639,164,0,0,0,1,0,0
640,164,0,0,0,1,0,0
641,164,0,0,0,1,0,0
642,164,0,0,0,1,0,0
643,164,0,0,0,1,0,0
644,164,0,0,0,1,0,0
645,164,0,0,0,1,0,0
646,164,0,0,0,1,0,0
647,164,0,0,0,1,0,0
648,164,0,0,(null),1,0,0
649,164,0,0,0,1,0,0
650,165,0,0,0,1,0,0
651,165,0,0,0,1,0,0
652,165,0,0,0,1,0,0
653,165,0,0,0,1,0,0
654,164,0,0,0,1,0,0
655,163,0,0,0,1,0,0
656,163,0,0,0,1,0,0
657,163,0,0,0,1,0,0
658,162,0,0,0,1,0,0
659,162,0,0,0,1,0,0
660,162,0,0,(null),1,0,0
661,162,0,0,0,1,0,0
662,161,0,0,0,1,0,0
663,161,0,0,0,1,0,0
664,161,0,0,0,1,0,0
665,159,0,0,0,1,0,0
666,158,0,0,0,1,0,0
667,158,0,0,0,1,0,0
668,158,0,0,0,1,0,0
669,158,0,0,0,1,0,0
670,158,0,0,0,1,0,0
671,158,0,0,0,1,0,0
672,158,0,0,(null),1,0,0
673,158,0,0,0,1,0,0
674,157,0,0,0,1,0,0
675,156,0,0,0,1,0,0
676,156,0,0,0,1,0,0
677,156,0,0,0,1,0,0
678,156,0,0,0,1,0,0
679,156,0,0,0,1,0,0
680,157,0,0,0,1,0,0
681,157,0,0,0,1,0,0
682,157,0,0,0,1,0,0
683,156,0,0,0,1,0,0
684,156,0,0,(null),1,0,0
685,155,0,0,0,1,0,0
686,155,0,0,0,1,0,0
687,155,0,0,0,1,0,0
688,155,0,0,0,1,0,0
689,153,0,0,0,1,0,0
690,152,0,0,0,1,0,0
691,151,0,0,0,1,0,0
692,151,0,0,0,1,0,0
693,151,0,0,0,1,0,0
694,151,0,0,0,1,0,0
695,151,0,0,0,1,0,0
696,151,0,0,(null),1,0,0
697,151,0,0,0,1,0,0
698,151,0,0,0,1,0,0
699,150,0,0,0,1,0,0
700,150,0,0,0,1,0,0
701,150,0,0,0,1,0,0
702,150,0,0,0,1,0,0
703,150,0,0,0,1,0,0
704,150,0,0,0,1,0,0
705,151,0,0,0,1,0,0
706,151,0,0,0,1,0,0
707,150,0,0,0,1,0,0
708,150,0,0,(null),1,0,0
709,151,0,0,0,1,0,0
710,150,0,0,0,1,0,0
711,150,0,0,0,1,0,0
712,150,0,0,0,1,0,0
713,150,0,0,0,1,0,0
714,147,0,0,0,1,0,0
715,147,0,0,0,1,0,0
716,146,0,0,0,1,0,0
717,146,0,0,0,1,0,0
718,144,0,0,0,1,0,0
719,143,0,0,0,1,0,0
720,143,0,0,(null),1,0,0
721,143,0,0,0,1,0,0
722,143,0,0,0,1,0,0
723,142,0,0,0,1,0,0
724,142,0,0,0,1,0,0
725,142,0,0,0,1,0,0
726,142,0,0,0,1,0,0
727,142,0,0,0,1,0,0
728,142,0,0,0,1,0,0
729,141,0,0,0,1,0,0
730,141,0,0,0,1,0,0
731,141,0,0,0,1,0,0
732,141,0,0,(null),1,0,0
733,141,0,0,0,1,0,0
734,141,0,0,0,1,0,0
735,141,0,0,0,1,0,0
736,141,0,0,0,1,0,0
737,141,0,0,0,1,0,0
738,140,0,0,0,1,0,0
739,140,0,0,0,1,0,0
740,140,0,0,0,1,0,0
741,140,0,0,0,1,0,0
742,141,0,0,0,1,0,0
743,141,0,0,0,1,0,0
744,142,0,0,(null),1,0,0
745,142,0,0,0,1,0,0
746,142,0,0,0,1,0,0
747,143,0,0,0,1,0,0
748,143,0,0,0,1,0,0
749,141,0,0,0,1,0,0
750,141,0,0,0,1,0,0
751,139,0,0,0,1,0,0
752,139,0,0,0,1,0,0
753,139,0,0,0,1,0,0
754,140,0,0,0,1,0,0
755,140,0,0,0,1,0,0
756,140,0,0,(null),1,0,0
757,140,0,0,0,1,0,0
758,141,0,0,0,1,0,0
759,140,0,0,0,1,0,0
760,140,0,0,0,1,0,0
761,140,0,0,0,1,0,0
762,140,0,0,0,1,0,0
763,140,0,0,0,1,0,0
764,140,0,0,0,1,0,0
765,140,0,0,0,1,0,0
766,139,0,0,0,1,0,0
767,138,0,0,0,1,0,0
768,138,0,0,(null),1,0,0
769,137,0,0,0,1,0,0
770,137,0,0,0,1,0,0
771,137,0,0,0,1,0,0
772,137,0,0,0,1,0,0
773,136,0,0,0,1,0,0
774,136,0,0,0,1,0,0
775,134,0,0,0,1,0,0
776,134,0,0,0,1,0,0
